A,B,Class
-0.380352,-0.390977,1
-0.41668,0.214674,1
-0.974757,0.263573,1
-1.129312,-0.387884,1
-0.867611,-0.226268,1
0.619771,0.025771,1
-0.996005,0.654919,1
0.456408,-0.93646,1
0.942539,-0.065533,1
-0.420138,0.606288,1
0.035121,-0.637674,1
0.321086,0.870754,1
0.748663,-0.719158,1
-0.490811,0.860318,1
1.040494,0.154433,1
-0.167861,-0.48382,1
0.426465,0.997589,1
0.436795,0.104234,1
-0.465864,0.067546,1
-0.546006,-0.868762,1
0.622312,0.284414,1
0.509688,0.881505,1
0.620563,0.22835,1
0.85725,-0.671118,1
1.060398,-0.380307,1
-0.550574,-0.610252,1
0.854626,-0.17233,1
-0.034135,-0.018311,1
0.655937,0.858635,1
0.638324,0.030895,1
0.222787,-0.414236,1
-0.755385,-0.648495,1
-0.590759,-0.564941,1
-0.94863,-0.693034,1
0.163433,0.263014,1
0.564339,0.992619,1
0.155052,0.580078,1
-0.580772,-0.17694,1
0.484564,-0.434955,1
1.080483,-0.306667,1
0.635704,-0.563401,1
-0.980787,0.12691,1
-0.919411,0.649461,1
-0.753007,-0.195943,1
0.011188,-0.489718,1
-0.333126,0.620329,1
0.455174,-0.518463,1
-0.00594,0.961309,1
-0.503314,-0.527291,1
0.703687,0.526678,1
1.016092,-0.557092,1
0.056623,0.269662,1
0.206158,-0.064831,1
0.796905,-0.646065,1
0.796853,0.107234,1
0.242114,-1.088646,1
0.161436,-1.078477,1
-0.786555,0.448116,1
0.798472,-0.755166,1
0.001304,0.281834,1
-0.133434,0.043841,1
0.589138,-0.572047,1
0.941217,0.131224,1
0.093949,0.874907,1
-0.518883,-0.343309,1
-0.396081,0.440444,1
-0.449959,-1.003387,1
-0.143215,1.073138,1
-0.337558,0.612475,1
-0.092153,-0.713471,1
0.614304,-0.225856,1
-1.149714,0.126845,1
0.301934,-0.229059,1
-0.714834,0.865406,1
-0.5355,0.411802,1
-0.53908,-0.729739,1
0.004133,1.113172,1
-0.368599,1.034293,1
0.273292,0.855253,1
0.746092,-0.637535,1
0.74211,-0.629121,1
-0.349794,0.035115,1
-0.957372,0.458524,1
-0.39017,0.33843,1
0.363268,-1.053361,1
0.058704,0.224547,1
0.89195,-0.375584,1
-0.082752,0.142115,1
-0.95678,0.341734,1
0.729517,-0.806659,1
-0.129197,0.472128,1
0.145971,-0.852413,1
-0.169943,-0.100867,1
0.31869,0.990968,1
0.673796,-0.538182,1
0.817179,0.854101,1
0.186444,-0.623523,1
0.53214,-0.219304,1
0.108283,0.114105,1
0.38363,-0.950707,1
0.112895,0.231929,1
0.697558,0.687522,1
0.78721,0.327726,1
0.533302,-0.510028,1
-0.760357,0.297018,1
-0.836778,0.804875,1
-0.039233,-0.24181,1
-0.041455,0.985708,1
0.791567,-0.15695,1
0.538268,-0.170167,1
-0.944801,0.364802,1
-0.664354,-0.323996,1
-1.008966,0.117599,1
-0.586613,-0.327906,1
-0.826399,0.641861,1
-0.261191,1.089947,1
0.614613,0.863131,1
0.854434,-0.799484,1
-0.379692,0.177448,1
-0.084142,0.734663,1
-0.313214,1.140179,1
-0.028102,0.794123,1
-0.83208,-0.773619,1
1.062523,0.016815,1
-0.174417,-1.095933,1
0.4473,0.65745,1
-0.741457,-0.7769,1
-0.6603,-0.147151,1
-0.233516,-1.110734,1
-0.734722,-0.143868,1
-0.021935,-0.848389,1
0.300297,-0.850992,1
-0.02433,0.774118,1
0.760093,-0.220243,1
0.482623,-0.336172,1
0.023048,-0.179681,1
-0.293597,-0.237008,1
-1.037089,0.003575,1
0.209883,-0.892722,1
-0.668529,-0.832356,1
1.044223,0.178181,1
0.724322,-0.645972,1
-0.106161,-0.411722,1
-0.939354,0.654076,1
-0.949965,-0.12399,1
0.331705,0.380413,1
-0.257851,0.980145,1
1.161128,0.273347,1
-0.98047,-0.602757,1
0.522778,0.40158,1
0.167452,-0.45982,1
-0.248372,-0.205675,1
-0.065904,0.480932,1
-0.056856,1.056737,1
-0.416361,-0.382198,1
0.198184,-0.668861,1
0.929375,-0.546538,1
0.716798,-0.436879,1
0.253758,0.599888,1
0.377887,0.514961,1
0.450405,-0.226589,1
0.974274,0.592344,1
1.084732,-0.377949,1
0.588417,-0.901797,1
-0.27231,-0.098128,1
-0.906873,-0.505712,1
0.786379,-0.809734,1
0.310039,-1.089272,1
-0.169512,-0.471964,1
0.051843,1.041639,1
-0.266324,-0.032778,1
0.805428,0.459465,1
-0.074849,-0.578847,1
0.492618,-0.717171,1
-0.575714,-0.847828,1
-0.468064,0.355679,1
0.845203,0.017995,1
0.580861,-0.129889,1
0.904168,-0.568344,1
-0.228753,-1.057709,1
0.184315,-0.520138,1
-0.671467,0.23346,1
0.860747,0.302608,1
0.41938,0.472261,1
-0.861543,0.65521,1
0.094292,-1.037365,1
0.094998,0.267867,1
0.240508,-0.584989,1
0.035093,-0.192279,1
-0.18961,-1.132889,1
-0.317454,-0.440472,1
-0.340882,0.973991,1
0.107715,0.942676,1
-0.97033,0.083667,1
0.327581,0.887735,1
-0.145292,0.707898,1
-0.597462,0.165097,1
0.283308,-0.22294,1
0.428564,0.139253,1
-0.345331,0.937349,1
0.297707,-1.111281,1
-0.363196,-1.016051,1
0.134369,-1.116582,1
-0.04365,-0.48952,1
-0.453088,-0.580029,1
0.738974,0.582708,1
0.607919,-0.531311,1
-0.019047,-0.628289,1
-0.125051,1.132601,1
-0.298213,-0.824835,1
0.291406,-0.181066,1
-1.118283,-0.27618,1
0.790701,0.289926,1
-0.697048,-0.172948,1
0.050893,1.029662,1
-0.420884,-0.611109,1
0.155531,-1.168935,1
-1.120877,0.288749,1
-0.157563,-0.657674,1
0.923198,-0.63082,1
-0.601509,-0.741845,1
0.001529,-0.613068,1
0.135863,0.949339,1
0.548729,-0.921445,1
-0.667838,0.417111,1
0.247657,0.847072,1
0.274994,-0.951917,1
-0.902581,0.526362,1
0.533179,-0.601162,1
0.808961,-0.716644,1
0.642345,-0.268873,1
-0.25029,-1.089732,1
0.428921,-0.390541,1
-0.447872,0.359596,1
0.7492,-0.726525,1
-0.085723,-1.02525,1
-0.060741,0.355649,1
0.228829,0.80683,1
0.089457,-0.183877,1
-0.163533,-0.819495,1
-1.009554,0.235208,1
0.786397,0.745312,1
0.573301,0.896112,1
1.141267,-0.190348,1
-0.42916,-0.172383,1
0.937546,-0.483943,1
-0.045574,-0.580884,1
-0.05215,1.146975,1
0.151387,-0.941188,1
-1.080905,0.169522,1
0.140191,-1.133057,1
-0.019141,0.36533,1
0.451846,0.747514,1
0.957236,-0.570161,1
-0.728195,0.549763,1
-0.949147,-0.568033,1
-0.305698,0.023366,1
-0.926086,-0.591281,1
-0.950859,-0.200922,1
-0.68967,-0.890756,1
-0.543713,0.187683,1
0.18266,-0.372524,1
0.513168,-0.851393,1
-0.705367,0.657527,1
0.442164,-0.155371,1
2.177058,-0.700472,2
1.691636,-1.58158,2
1.588604,-1.097625,2
1.630993,-1.370122,2
1.957612,-0.453224,2
-1.572628,-1.720889,2
-2.05786,-0.473645,2
2.224437,-0.020144,2
-2.01982,-0.865399,2
-0.053677,-2.333044,2
1.868696,-0.486972,2
-1.414546,-1.334059,2
